"ID","Question","Category","Domain","Difficulty","Probability","Anchor","Why It's Asked","Practiced","Practice Date","Self-Rating (1-5)","Notes"
"S-185","Why do you want to leave your NPT Solution internship for us?","Most Probable","HR;Personal","Easy","High","Current role","Motivation probe","No","","",""
"S-186","What's your notice period or earliest availability, and are you flexible on the start date?","Most Probable","HR;Personal","Easy","High","Logistics","Baseline HR","No","","",""
"S-187","What's your compensation expectation for the 6-month internship phase?","Most Probable","HR;Personal","Easy","High","Compensation","Salary negotiation","No","","",""
"S-188","What's your expectation for the FTE conversion CTC?","Most Probable","HR;Personal","Medium","High","FTE conversion","Long-term compensation","No","","",""
"S-189","Are you open to relocating to our HQ (Bangalore/Delhi NCR/Mumbai)?","Other","HR;Personal","Easy","High","Location flexibility","Logistics","No","","",""
"S-190","In a small team, you may own an area with no senior above you — are you comfortable with that ambiguity?","Other","HR;Behavioral","Medium","High","Startup fit","Ownership tolerance","No","","",""
"S-191","How do you handle 60-hour weeks during a launch crunch?","Other","HR;Personal","Medium","Medium","Startup expectations","Sustainability signal","No","","",""
"S-192","Are you comfortable being on-call for a service you own?","Other","HR;Personal","Easy","Medium","Ops responsibility","Ops tolerance","No","","",""
"S-193","Any other offers or interview processes currently active?","Other","HR;Personal","Easy","High","Job-search context","Competition awareness","No","","",""
"S-194","How do you decide between two competing offers?","Other","HR;Personal","Medium","Medium","Decision framing","Judgment signal","No","","",""
"S-195","What's your long-term career hypothesis — IC deep tech, founder, or engineering manager?","Other","HR;Personal","Medium","Medium","Career trajectory","Alignment probe","No","","",""
"S-196","Do you have any questions for us?","Most Probable","HR;Personal","Easy","High","Interview close","Reciprocal curiosity","No","","",""
