"ID","Question","Category","Domain","Difficulty","Probability","Anchor","Why It's Asked","Practiced","Practice Date","Self-Rating (1-5)","Notes"
"F-195","'80% reduction in manual assessment effort' — show me the numerator and denominator.","Inconsistency observed;Project","Behavioral;Technical","Medium","High","80% metric claim","Metric honesty","No","","",""
"F-196","'Invoice handling from minutes to seconds' — how was baseline measured?","Inconsistency observed;Project","Behavioral;Technical","Medium","Medium","Lumen metric claim","Metric honesty","No","","",""
"F-197","Snippad — 'zero backend dependency' while using Axios and Judge0. Reconcile.","Inconsistency observed;Project","Technical;Behavioral","Medium","High","Snippad claim","Contradiction probe","No","","",""
"F-198","Documentation Executive in a technical committee — squares oddly with a coding-heavy narrative. What did you actually document?","Inconsistency observed","HR;Behavioral","Easy","Medium","Technocracy PoR","Role-fit probe","No","","",""
"F-199","30+ GitHub stars — how many are organic vs GSSoC-participant courtesy stars?","Inconsistency observed;Achievement","Behavioral","Medium","Medium","30+ stars","Attribution honesty","No","","",""
"F-200","10+ contributors — how many made >5 lines of substantive merged code?","Inconsistency observed;Achievement","Behavioral;Technical","Medium","Medium","10+ contributors","Substance probe","No","","",""
"F-201","You list Design Patterns in coursework — name three patterns you've implemented outside academia.","Inconsistency observed;CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","Design Patterns coursework","Applied depth","No","","",""
"F-202","You list Java but no Java project — active or passive skill?","Inconsistency observed;Weakness / Shortcomings","Technical","Easy","Medium","Java in Languages","Skill honesty","No","","",""
"F-203","You list Docker but no Docker artifact in project descriptions — where was it used?","Inconsistency observed;Weakness / Shortcomings","Technical","Easy","Medium","Docker in Tools","Skill honesty","No","","",""
"F-204","Your peak LeetCode rating is 2041 — what is it today?","Inconsistency observed;Achievement","Personal","Easy","High","Peak 2041 claim","Current-sharpness","No","","",""
"F-205","Why leave your current NPT Solution internship for us?","Most Probable","HR;Personal","Easy","High","Current role","Motivation probe","No","","",""
"F-206","What's your notice period or earliest join date?","Most Probable","HR;Personal","Easy","High","Logistics","Baseline HR","No","","",""
"F-207","What are your compensation expectations for the internship phase?","Most Probable","HR;Personal","Easy","High","Compensation","Salary negotiation","No","","",""
"F-208","What are your expectations for the FTE conversion CTC?","Most Probable","HR;Personal","Medium","High","FTE conversion","Long-term compensation","No","","",""
"F-209","Comfortable relocating to Bangalore/Hyderabad/Seattle/etc.?","Other","HR;Personal","Easy","High","Location","Logistics","No","","",""
"F-210","How do you feel about on-call rotations for a service you own?","Other","HR;Personal","Easy","Medium","Ops responsibility","Ops tolerance","No","","",""
"F-211","How do you handle 55-60 hour weeks during a launch?","Other","HR;Personal","Medium","Medium","Sustainability","Endurance signal","No","","",""
"F-212","Do you have any other active interview processes?","Other","HR;Personal","Easy","High","Job-search context","Competition awareness","No","","",""
"F-213","How do you decide between two competing offers?","Other","HR;Personal","Medium","Medium","Decision framing","Judgment","No","","",""
"F-214","What's your long-term career hypothesis — deep IC, tech lead, EM, or founder?","Other","HR;Personal","Medium","Medium","Career trajectory","Alignment","No","","",""
"F-215","How would your last manager describe you in one sentence?","Other","HR;Personal","Medium","Medium","External view","Self-awareness","No","","",""
"F-216","Do you have any questions for us?","Most Probable","HR;Personal","Easy","High","Interview close","Reciprocal curiosity","No","","",""
